force_factor,market_id,is_lost,x,y,z
0.3,0,0,0.17781612530494761,1.3948090564583342,0.7248813484214464
0.3,1,0,-0.43076458931272815,0.5471716721749711,0.66563759357696
0.3,2,0,-0.499531008788464,-0.44480711064618783,0.43585729522790423
0.3,3,0,-0.46782432475100943,0.8391515663706168,0.3384806940265163
0.3,4,0,0.6024686235353739,-0.4570673860119169,0.3572462517328522
0.3,5,0,-0.020335695264042025,-0.4208351114224714,0.5117747493574405
0.3,6,0,0.877938670838792,0.021746842150474278,0.34211673643203366
0.3,7,0,-1.0591987383071404,0.0339725106945967,0.2969510194549303
0.3,8,0,0.4123123666775109,-0.48682754914302284,0.2414573118121261
0.3,9,0,0.5657229902837786,0.5281984417711443,0.8155095901222618
0.3,10,0,0.09065443543566652,0.9705199896589636,0.19033539769175417
0.3,11,0,0.5257429709970998,-0.7104181645886537,0.17596187500771304
0.3,12,0,0.840745011719502,0.433828776901898,0.0
0.3,13,0,0.19002175334833032,-0.5652312062683098,0.5181132105241913
0.3,14,0,-0.36478817058686075,-0.622881349125969,0.29694850822924274
0.3,15,0,1.1145267702077326,0.13312911293236895,0.3725632970119723
0.3,16,0,-1.3753233667286138,-0.31673343141298727,0.6218988607847407
0.3,17,0,0.8442406914105601,0.1469944962406027,0.6452469306785629
0.3,18,0,-1.5340550524914294,-0.7401799100942723,0.17413232729519657
0.3,19,0,-1.019836161781196,0.1683411514204715,0.1699218623198944
0.3,20,0,-1.239822451063438,-1.5544770421988623,0.47678548798212617
0.3,21,0,0.26771571334558264,-1.0399309039564366,0.3529668814673743
0.3,22,0,-0.7337932450337944,-1.0029757337919556,0.3771745792425414
0.3,23,0,1.2835342624150958,-0.028413917580935477,0.12851238500449924
0.3,24,0,0.823791834306798,-0.5485724173919936,0.5135493774494173
0.3,25,0,0.39807416822266306,0.13980906060575626,0.682273361750191
0.3,26,0,0.6595719471703172,-2.4354836614089246,0.5527856089665858
0.3,27,0,-0.9387854779134424,-0.41099399013877347,0.19431340093773442
